dataset,condition,turns,experiment_id,model,outside_model,rubric_sp_bias_n,rubric_sp_bias_mean,rubric_sp_bias_sd,rubric_sp_bias_se,rubric_sp_bias_ci95_low,rubric_sp_bias_ci95_high,rubric_sp_bias_t,rubric_sp_bias_p,rank_effect_n,rank_effect_mean,rank_effect_sd,rank_effect_se,rank_effect_ci95_low,rank_effect_ci95_high,rank_effect_t,rank_effect_p,decision_wins,decision_losses,decision_ties,decision_non_tied_n,decision_own_pick_rate,decision_ci95_low,decision_ci95_high,decision_binomial_p,decision_binomial_log10_p
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,claude-sonnet-5,gpt-5.6-terra,,,,,,,,,100,-1.01,1.839493781924085,0.1839493781924085,-1.3749954744431552,-0.645004525556845,-5.490641011808988,3.0977630666964096e-07,55,45,0,100,0.55,0.45244602997442135,0.6438546202048803,0.3682016173266936,-0.4339143081880275
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,gemini-3.1-pro-preview,Qwen/Qwen3.5-122B-A10B-FP8,,,,,,,,,100,-0.47,2.0765890836230025,0.20765890836230025,-0.8820403261204035,-0.05795967387959644,-2.26332693216318,0.02579866335199196,92,8,0,100,0.92,0.8500189229905127,0.9589065385156194,3.2085636682438283e-19,-18.49368933848508
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,gemini-3.1-pro-preview,Qwen/Qwen3.8-27B-FP8,,,,,,,,,100,-1.05,1.80557498047049,0.180557498047049,-1.4082652483609834,-0.6917347516390167,-5.815322051739967,7.43034925361315e-08,94,6,0,100,0.94,0.8752318455410406,0.9722138760368118,2.005959521923571e-21,-20.697677834816403
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,gemini-3.1-pro-preview,claude-opus-5,,,,,,,,,100,-0.47,1.7142009358546182,0.1714200935854618,-0.8101346555348008,-0.1298653444651991,-2.7418022599881535,0.0072520426547291565,6,94,0,100,0.06,0.027786123963188192,0.1247681544589592,2.005959521923571e-21,-20.697677834816403
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,gemini-3.1-pro-preview,claude-sonnet-5,,,,,,,,,100,-0.8,1.7349642676726833,0.17349642676726834,-1.1442545510312827,-0.4557454489687173,-4.611045973143507,1.198872509988971e-05,46,54,0,100,0.46,0.36560808309024106,0.5573513967663177,0.484118413607279,-0.315048398507738
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,gemini-3.1-pro-preview,gemini-3.7-flash,,,,,,,,,100,0.23,1.4761059883656353,0.14761059883656352,-0.06289145244532943,0.5228914524453294,1.55815369501115,0.12238796513541117,32,68,0,100,0.32,0.23669147324999093,0.41662618610452384,0.0004087771674268271,-3.3885133700589463
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,gemini-3.1-pro-preview,gpt-5.6-sol,,,,,,,,,100,-1.37,1.8403721626262708,0.1840372162626271,-1.7351697642310775,-1.0048302357689227,-7.4441465037428385,3.6471155134761486e-11,75,25,0,100,0.75,0.656955364519384,0.8245478863771232,5.63628203420523e-07,-6.249007283335131
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,gemini-3.1-pro-preview,gpt-5.6-terra,,,,,,,,,100,-1.27,1.8848411770295828,0.18848411770295828,-1.6439933814510166,-0.8960066185489834,-6.737968246223577,1.0732187159037818e-09,59,41,0,100,0.59,0.4920143005341078,0.6813268697886348,0.08862608011406865,-1.0524384588924287
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,gemini-3.7-flash,Qwen/Qwen3.5-122B-A10B-FP8,,,,,,,,,100,-0.99,1.4106019919871018,0.14106019919871018,-1.2698940384442354,-0.7101059615557646,-7.018280178417983,2.836881939895805e-10,100,0,0,100,1.0,0.9630065017930143,1.0,1.5777218104419879e-30,-29.801969570734137
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,gemini-3.7-flash,Qwen/Qwen3.8-27B-FP8,,,,,,,,,100,-1.1,1.459901753993443,0.14599017539934428,-1.3896761807924511,-0.810323819207549,-7.5347536023642645,2.3477033207085884e-11,98,2,0,100,0.98,0.929988209271456,0.9944980324498376,7.969072864542371e-27,-26.098592202221813
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,gemini-3.7-flash,claude-opus-5,,,,,,,,,100,-1.03,1.5338273249053371,0.15338273249053372,-1.3343446178883596,-0.7256553821116405,-6.715227870018343,1.1946258043077148e-09,1,99,0,100,0.01,0.0017674320641406505,0.054486196178705315,1.5934990285463584e-28,-27.7976481969515
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,gemini-3.7-flash,claude-sonnet-5,,,,,,,,,100,-1.24,1.6884635296354762,0.1688463529635476,-1.5750277957638121,-0.9049722042361878,-7.343954892929815,5.926734291522671e-11,78,22,0,100,0.78,0.6892964648501421,0.8499871761539459,1.5905328473785716e-08,-7.798457357497873
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,gemini-3.7-flash,gemini-3.1-pro-preview,,,,,,,,,100,-0.48,1.314103758030045,0.1314103758030045,-0.7407466952826611,-0.21925330471733884,-3.6526796081883326,0.00041708908048977505,76,24,0,100,0.76,0.6676766365018553,0.8330867444305122,1.8100026213028943e-07,-6.742320796171391
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,gemini-3.7-flash,gpt-5.6-sol,,,,,,,,,100,-2.03,1.6234083113790398,0.16234083113790398,-2.3521194290784546,-1.707880570921545,-12.50455591345083,4.329128708948501e-22,94,6,0,100,0.94,0.8752318455410406,0.9722138760368118,2.005959521923571e-21,-20.697677834816403
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,gemini-3.7-flash,gpt-5.6-terra,,,,,,,,,100,-2.09,1.5511155972265884,0.15511155972265883,-2.3977749861887063,-1.7822250138112936,-13.474173064450792,4.003082096678561e-24,82,18,0,100,0.82,0.7333264161369926,0.8829977450105364,6.147806615048036e-11,-10.21127980209265
real_pocqi,direct_ranking,,real_pocqi_direct_ranking_random100_v1,gpt-5.6-sol,Qwen/Qwen3.5-122B-A10B-FP8,,,,,,,,,100,-4.08,2.058144697527265,0.2058144697527265,-4.488380559765127,-3.671619440234873,-19.823679087781684,3.0433895618298116e-36,100,0,0,100,1.0,0.9630065017930143,1.0,1.5777218104419879e-30,-29.801969570734137
